id	primary_name	subordinate_name_1	subordinate_name_2	number	dates	qualifier	source_id	rules_id	sort_name	authority_id
4136	Dominica	Ministry of Home Affairs	NULL	NULL	NULL	NULL	237	NULL	Dominica. Ministry of Home Affairs	n82209909
4137	Bahamas	Ministry of Tourism	NULL	NULL	NULL	NULL	237	NULL	Bahamas. Ministry of Tourism	n80144930
4139	Barbados	Prime Minister	NULL	NULL	NULL	NULL	237	NULL	Barbados. Prime Minister	n50069845
4142	Barbados	Housing Authority	NULL	NULL	NULL	NULL	237	NULL	Barbados. Housing Authority	n50069838
4144	Barbados	Ministry of Health and Community Development	NULL	NULL	NULL	NULL	237	NULL	Barbados. Ministry of Health and Community Development	n80063412
4145	Democratic Labour Party (Barbados)	NULL	NULL	NULL	NULL	NULL	237	NULL	Democratic Labour Party (Barbados)	n83005176
4148	United States	Congress	Joint Committee on Taxation	NULL	NULL	NULL	237	NULL	United States. Congress. Joint Committee on Taxation	n79021613
4150	Barbados Sugar and General Workers Union	NULL	NULL	NULL	NULL	NULL	237	NULL	Barbados Sugar and General Workers Union	n86864845
4155	British Guiana	Ministry of Economic Development	NULL	NULL	NULL	NULL	237	NULL	British Guiana. Ministry of Economic Development	n80034410
4158	British Guiana Trades Union Council	NULL	NULL	NULL	NULL	NULL	237	NULL	British Guiana Trades Union Council	nr95001633
4162	Midwest Universities Consortium for International Activities	NULL	NULL	NULL	NULL	NULL	237	NULL	Midwest Universities Consortium for International Activities	n86800484
4165	Borough of Manhattan Community College	NULL	NULL	NULL	NULL	NULL	237	NULL	Borough of Manhattan Community College	nr2003009654
4170	West Indies (Federation)	Federal Statistical Office	NULL	NULL	NULL	NULL	237	NULL	West Indies (Federation). Federal Statistical Office	no95005739
4174	United States	Bureau of Mines	NULL	NULL	NULL	NULL	237	NULL	United States. Bureau of Mines	n79063444
4175	University of Denver	Graduate School of International Studies	NULL	NULL	NULL	NULL	237	NULL	University of Denver. Graduate School of International Studies	n81089802
4177	United States	Foreign Agricultural Service	NULL	NULL	NULL	NULL	237	NULL	United States. Foreign Agricultural Service	n80126196
4178	Caribbean Free Trade Association	Commonwealth Caribbean Regional Secretariat	Trade and Integration Division	NULL	NULL	NULL	237	NULL	Caribbean Free Trade Association. Commonwealth Caribbean Regional Secretariat. Trade and Integration Division	n87117680
4179	United States	Bureau of Consular Affairs	NULL	NULL	NULL	NULL	237	NULL	United States. Bureau of Consular Affairs	n80024535
4182	University of the West Indies	NULL	NULL	NULL	NULL	NULL	237	NULL	University of the West Indies	nr90027685
4192	Organization of American States	General Secretariat	NULL	NULL	NULL	NULL	237	NULL	Organization of American States. General Secretariat	n79118116
4196	National Committee for Commonwealth Immigrants	NULL	NULL	NULL	NULL	NULL	237	NULL	National Committee for Commonwealth Immigrants	n50060836
4197	Runnymede Trust	NULL	NULL	NULL	NULL	NULL	237	NULL	Runnymede Trust	n50058362
4200	Great Britain	Race Relations Board	NULL	NULL	NULL	NULL	237	NULL	Great Britain. Race Relations Board	n50074376
4201	Guyana Information Services	NULL	NULL	NULL	NULL	NULL	237	NULL	Guyana Information Services	n50064073
4202	Grenada	Government Information Service	NULL	NULL	NULL	NULL	237	NULL	Grenada. Government Information Service	n85199580
4203	New Jewel Movement (Grenada)	NULL	NULL	NULL	NULL	NULL	237	NULL	New Jewel Movement (Grenada)	n84046992
4204	Grenada Co-operative Nutmeg Association	NULL	NULL	NULL	NULL	NULL	237	NULL	Grenada Co-operative Nutmeg Association	n84124196
4205	Guyana	Parliament	NULL	NULL	NULL	NULL	237	NULL	Guyana. Parliament	n50064067
4206	Great Britain	Parliament	NULL	NULL	NULL	NULL	237	NULL	Great Britain. Parliament	n79017964
4207	Guyana	Ministry of Information, Culture, and Youth	NULL	NULL	NULL	NULL	237	NULL	Guyana. Ministry of Information, Culture, and Youth	n50064063
4211	People's Progressive Party (Guyana)	Education Committee	NULL	NULL	NULL	NULL	237	NULL	People's Progressive Party (Guyana). Education Committee	n83302042
4213	Guyana	Ministry of Education	NULL	NULL	NULL	NULL	237	NULL	Guyana. Ministry of Education	n50064058
4214	Guyana	Prime Minister	NULL	NULL	NULL	NULL	237	NULL	Guyana. Prime Minister	n50064068
4215	Guyana Human Rights Association	NULL	NULL	NULL	NULL	NULL	237	NULL	Guyana Human Rights Association	n85021776
4220	Haiti Communications Project	NULL	NULL	NULL	NULL	NULL	237	NULL	Haiti Communications Project	no94030655
4228	Jamaica Banana Producers Association	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Banana Producers Association	n84202394
4229	Building Societies Association of Jamaica	NULL	NULL	NULL	NULL	NULL	237	NULL	Building Societies Association of Jamaica	n87850645
4232	Farquharson Institute of Public Affairs	NULL	NULL	NULL	NULL	NULL	237	NULL	Farquharson Institute of Public Affairs	n87804378
4233	Jamaica National Trust Commission	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica National Trust Commission	n85123310
4239	Jamaica	Government Printing Office	NULL	NULL	NULL	NULL	237	NULL	Jamaica. Government Printing Office	n50053762
4240	JAMPRO (Organization : Jamaica)	NULL	NULL	NULL	NULL	NULL	237	NULL	JAMPRO (Organization : Jamaica)	n88179732
4244	Jamaica	Ministry of External Affairs	NULL	NULL	NULL	NULL	237	NULL	Jamaica. Ministry of External Affairs	n80065761
4245	Jamaica	Ministry of Justice	NULL	NULL	NULL	NULL	237	NULL	Jamaica. Ministry of Justice	n81106023
4249	Jamaica Library Association	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Library Association	n82004319
4251	University of the West Indies (Mona, Jamaica)	School of Education	NULL	NULL	NULL	NULL	237	NULL	University of the West Indies (Mona, Jamaica). School of Education	n82001874
4252	Jamaica Association for Mental Health	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Association for Mental Health	no2009013129
4256	Howard League for Penal Reform	NULL	NULL	NULL	NULL	NULL	237	NULL	Howard League for Penal Reform	n50029085
4263	United States	President (1977-1981 : Carter)	NULL	NULL	NULL	NULL	237	NULL	United States. President (1977-1981 : Carter)	n81018688
4264	United States	President (1981-1989 : Reagan)	NULL	NULL	NULL	NULL	237	NULL	United States. President (1981-1989 : Reagan)	n81053019
4267	Jamaica	Ministry of Finance and Planning	NULL	NULL	NULL	NULL	237	NULL	Jamaica. Ministry of Finance and Planning	n50054153
4268	Airports Authority of Jamaica	NULL	NULL	NULL	NULL	NULL	237	NULL	Airports Authority of Jamaica	n83165376
4276	ARDTM (Agency : Martinique)	NULL	NULL	NULL	NULL	NULL	237	NULL	ARDTM (Agency : Martinique)	no90013107
4280	Montserrat	Government Information Unit	NULL	NULL	NULL	NULL	237	NULL	Montserrat. Government Information Unit	n92086944
4286	Montserrat Allied Workers Union	NULL	NULL	NULL	NULL	NULL	237	NULL	Montserrat Allied Workers Union	n82223831
4294	Great Britain	Commonwealth Office	NULL	NULL	NULL	NULL	237	NULL	Great Britain. Commonwealth Office	n50072615
4297	Netherlands Antilles	Centraal Bureau voor de Statistiek	NULL	NULL	NULL	NULL	237	NULL	Netherlands Antilles. Centraal Bureau voor de Statistiek	n83212194
4304	St. Lucia Archaeological and Historical Society	NULL	NULL	NULL	NULL	NULL	237	NULL	St. Lucia Archaeological and Historical Society	n88247353
4311	United States	Bureau of International Labor Affairs	NULL	NULL	NULL	NULL	237	NULL	United States. Bureau of International Labor Affairs	n79053174
4315	Trinidad and Tobago	Ministry of Health	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Ministry of Health	n85146530
4316	Trinidad and Tobago	Ministry of Agriculture, Lands, and Fisheries	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Ministry of Agriculture, Lands, and Fisheries	n83181609
4320	Trinidad and Tobago	Parliament	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Parliament	n50064133
4324	Trinidad and Tobago	Parliament	House of Representatives	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Parliament. House of Representatives	n50064136
